filename,bib_numbers,notes
_5D_1134.JPG,none,no legible race bib numbers visible on any person in the frame
_5D_1136.JPG,none,no clear individual bib numbers visible on participants
_5D_1137.JPG,none,no traditional pinned race bibs visible on any participant
_5D_1139.JPG,none,no legible numbered bib visible on any participants
_5D_1141.JPG,none,no discernible numbered race bibs visible on any participant
_5D_1143.JPG,none,no clearly visible individual bib numbers on participants
_5D_1145.JPG,none,no clearly visible race bib numbers
_5D_1146.JPG,none,
_5D_1147.JPG,none,no legible numbered tags pinned to runners
_5D_1150.JPG,none,no clearly legible numbered bibs are visible on the runners
_5D_1158.JPG,none,No legible race bib numbers visible on any participant
_5D_1159.JPG,none,no clear race bibs visible on any runner
_5D_1162.JPG,17,single visible bib on athlete in red kit
_5D_1165.JPG,none,no legible numbered race bibs found on any runner
_5D_1166.JPG,none,no discernible numbered race bibs on participants
_5D_1169.JPG,none,no legible numbered race bibs visible
_5D_1173.JPG,none,no legible numbered bib found anywhere in the frame
_5D_1174.JPG,430,"most clear bib in foreground, others obscured or not visible"
_5D_1175.JPG,none,participants are heavily obscured or lack visible standard bibs
_5D_1176.JPG,none,no legible race bib numbers visible on any runner
_5D_1177.JPG,549,Bib on main runner in center foreground
_5D_1178.JPG,none,no clearly legible numbered race bibs visible on participants
_5D_1180.JPG,none,"no clearly legible, pinned race bibs visible"
_5D_1183.JPG,none,no clear or visible race bib numbers on any person
_5D_1184.JPG,none,no legible standard pinned race number visible on any participant
_5D_1185.JPG,none,no legible race bib numbers are visible on any athlete
_5D_1186.JPG,none,no legible race bibs visible on any runner
_5D_1187.JPG,none,"no discernible, legible numbered bibs visible"
_5D_1189.JPG,none,no legible numbered bibs visible on any participant
_5D_1190.JPG,none,no legible race bibs are visible anywhere in the frame
_5D_1194.JPG,none,no legible race bib numbers visible on any participant
_5D_1199.JPG,none,central runner does not appear to be wearing a race bib
_5D_1201.JPG,none,no legible numbered race bibs visible on any person
_5D_1206.JPG,none,race bib numbers are not legible or visible anywhere in the frame
_5D_1210.JPG,none,no clearly visible or legible personal race bibs are present
_5D_1211.JPG,none,bib numbers obscured by dense crowd
_5D_1212.JPG,43,clearest legible bib on central runner
_5D_1213.JPG,none,no discernible race bibs visible on participants or runners
_5D_1214.JPG,none,"runners and spectators in progress, no visible numbered race bibs"
_5D_1216.JPG,none,no legible bib numbers are visible
_5D_1218.JPG,none,no visible or legible race bib numbers on participants
_5D_1223.JPG,8,only clearly visible in foreground
_5D_1230.JPG,none,no clear race bibs visible on any participant
_5D_1231.JPG,none,individual participant bibs are not legible from this distance
_5D_1233.JPG,none,no legible race bib numbers visible on any participants
_5D_1235.JPG,none,no clearly legible race bib numbers are visible on participants
_5D_1238.JPG,none,"large crowd, no discernible race bib numbers visible"
_5D_1239.JPG,none,no discernible race bib numbers on visible participants
_5D_1240.JPG,none,no visible race numbers on participants
_5D_1241.JPG,none,no legible race bib numbers are visible
_5D_1243.JPG,none,no clearly visible or legible numbered bibs are present
_5D_1244.JPG,none,no legible race bibs visible
_5D_1245.JPG,none,"no clear, legible bibs are visible on any participant"
_5D_1251.JPG,105;407;135,bibs visible on racers in red jerseys
_5D_1256.JPG,none,no clearly legible race bib numbers visible on any participant
_5D_1257.JPG,none,no clear numbered bibs visible on participants
_5D_1258.JPG,none,no clearly visible bib numbers
_5D_1263.JPG,none,No legible numbered race bibs are visible on any participants
_5D_1264.JPG,none,no clearly legible numbered race bibs visible
_5D_1267.JPG,none,No clear individual numbers are visible on the participants
_5D_1268.JPG,169;295,two legible race bibs on runners
_5D_1269.JPG,none,"no clear, individual race bib numbers visible on any participant"
_5D_1270.JPG,none,no visible race bibs found
_5D_1272.JPG,none,no legible numbered bibs are visible on participants
_5D_1276.JPG,none,no legible bib numbers visible on participants
_5D_1277.JPG,none,no visible numbered race bibs
_5D_1280.JPG,none,no legible race bibs visible
_5D_1281.JPG,none,no clearly readable race bib numbers are visible on any participant
_5D_1285.JPG,42;76,two main runners have legible bib numbers
_5D_1287.JPG,none,no legible individual race bibs are visible
_5D_1289.JPG,none,No legible race bib numbers are visible on any participant
_5D_1291.JPG,none,"main runners in team kits or athletic wear; no distinct, numbered bib is visible"
_5D_1293.JPG,none,main athlete's chest area is obscured/no visible numbers
_5D_1295.JPG,none,no clear race bibs visible on any runner
_5D_1297.JPG,none,no legible race bibs visible due to distance and crowd density
_5D_1298.JPG,none,"no clearly visible, distinct bib numbers on any participant"
_5D_1300.JPG,none,no legible race bib numbers visible on participants
_5D_1302.JPG,none,no legible race bibs visible
_5D_1303.JPG,none,no visible race bib numbers on participants
_5D_1306.JPG,none,no legible race bib number is visible on any person in the frame
_5D_1307.JPG,none,"multiple runners present, but no clear, readable race bib numbers are visible"
_5D_1310.JPG,17,main subject's back/side
_5D_1311.JPG,306,main numbered bib clearly visible on foreground athlete
_5D_1313.JPG,none,no legible race bib numbers are clearly visible on the athletes' torsos
_5D_1315.JPG,none,no legible bibs visible anywhere in the scene
_5D_1316.JPG,none,No obvious numbered race bibs visible on any person
_5D_1317.JPG,none,participants visible but no clearly legible numbered race bibs detected
_5D_1319.JPG,none,No legible numbered bibs are visible on any participant
_5D_1320.JPG,none,no legible race bibs visible
_5D_1323.JPG,none,no clearly visible attached numbered bibs on participants
_5D_1329.JPG,none,"participants wearing athletic kits, no clear numbered race bibs visible"
_5D_1330.JPG,none,no legible race bib number visible on any runner
_5D_1332.JPG,none,No legible race bib numbers are visible on participants.
_5D_1335.JPG,none,"race participants are wearing sportswear, but no clear or legible numbered race bibs are visible"
_5D_1336.JPG,618;573,two legible bibs on runners in foreground right
_5D_1338.JPG,none,no legible bibs visible
_5D_1341.JPG,none,crowd too dense and distant for individual bib reading
_5D_1346.JPG,none,no clear race bibs visible on any participant
_5D_1350.JPG,none,"participants are visible, but no clear race bib numbers are legible"
_5D_1354.JPG,none,bibs present on main runners are too blurred or far away to read numbers
_5D_1356.JPG,408,central bib prominently displayed on chest
